Frame,DeltaTime,ParticleCount,ChannelCollisions,SphereCollisions
1,0.020000,0,0,0
2,0.020000,8,48,5
3,0.035240,16,112,41
4,0.010381,37,572,145
5,0.006934,41,164,45
6,0.012869,45,180,54
7,0.008017,49,196,49
8,0.012047,54,216,46
9,0.008662,62,480,135
10,0.007755,66,264,65
11,0.008370,70,280,68
12,0.007616,74,296,67
13,0.007891,74,0,0
14,0.007632,79,316,86
15,0.008222,83,332,89
16,0.009662,87,348,92
17,0.009785,91,364,88
18,0.007593,99,776,188
19,0.008429,104,416,117
20,0.007504,108,432,108
21,0.008404,108,0,0
22,0.007621,112,448,108
23,0.008483,116,464,125
24,0.007471,120,480,117
25,0.008228,124,496,128
26,0.007700,129,516,137
27,0.008015,133,532,166
28,0.007468,137,548,175
29,0.007869,141,564,167
30,0.007875,145,580,166
31,0.008054,149,596,182
32,0.006617,154,616,178
33,0.006409,158,632,214
34,0.006702,158,0,0
35,0.008025,162,648,223
36,0.007387,166,664,205
37,0.006263,170,680,222
38,0.007076,174,696,224
39,0.006337,179,716,219
40,0.004808,179,0,0
41,0.005958,183,732,246
42,0.006283,187,748,246
43,0.006032,191,764,248
44,0.004347,191,0,0
45,0.005872,195,780,257
46,0.004785,195,0,0
47,0.006464,199,796,278
48,0.006050,204,816,275
49,0.006063,208,832,291
50,0.004266,208,0,0
51,0.006030,212,848,291
52,0.006359,216,864,310
53,0.004221,216,0,0
54,0.006450,220,880,306
55,0.006389,224,896,318
56,0.004350,224,0,0
57,0.006612,229,916,341
58,0.007510,233,932,320
59,0.007806,237,948,351
60,0.013497,237,0,0
61,0.010533,245,1944,696
62,0.006784,249,996,355
63,0.006920,254,1016,388
64,0.006786,258,1032,383
65,0.006992,262,1048,371
66,0.006820,266,1064,374
67,0.004306,266,0,0
68,0.006935,270,1080,430
69,0.007312,274,1096,411
70,0.007215,279,1116,422
71,0.007638,283,1132,436
72,0.007468,287,1148,432
73,0.004393,287,0,0
74,0.007328,291,1164,430
75,0.007624,295,1180,422
76,0.007507,299,1196,466
77,0.007703,304,1216,463
78,0.007650,308,1232,462
79,0.004671,308,0,0
80,0.009733,312,1248,473
81,0.009502,316,1264,452
82,0.008084,320,1280,502
83,0.009209,324,1296,483
84,0.008279,329,1316,484
85,0.009190,333,1332,492
86,0.014422,341,2712,1030
87,0.008852,345,1380,522
88,0.009767,349,1396,528
89,0.009311,354,1416,542
90,0.014036,362,2880,1076
91,0.010193,366,1464,548
92,0.010671,370,1480,558
93,0.016263,379,3012,1144
94,0.015140,387,3080,1199
95,0.017399,395,3144,1205
96,0.020759,404,3212,1322
97,0.017634,412,3280,1283
98,0.016505,420,3344,1379
99,0.017299,429,3412,1333
100,0.018602,437,3480,1367
101,0.025484,449,5340,2149
102,0.026069,462,5496,2235
103,0.028961,474,5640,2318
104,0.030079,487,5796,2419
105,0.037785,504,7956,3185
106,0.041059,520,8224,3383
107,0.055188,541,10656,4428
108,0.079959,570,15616,6451
109,0.098527,604,18848,7752
110,0.107166,637,19916,8421
111,0.118582,670,20980,8874
112,0.127226,704,22048,9389
113,0.138036,737,23116,8530
114,0.149272,770,24180,5424
115,0.161317,804,25248,5247
116,0.177523,837,26316,5543
117,0.186725,870,27380,5699
118,0.200463,904,28448,6034
119,0.215606,937,29516,6309
120,0.230198,970,30580,6418
121,0.245042,1004,31648,7114
122,0.262346,1037,32716,7690
123,0.277893,1070,33780,7714
124,0.294753,1104,34848,8151
125,0.312515,1137,35916,8927
126,0.333244,1170,36980,9192
127,0.333333,1204,38048,9432
128,0.333333,1237,39116,9781
129,0.333333,1270,40180,10275
130,0.333333,1304,41248,10259
131,0.333333,1337,42316,10657
132,0.333333,1370,43380,10716
133,0.333333,1404,44448,11450
134,0.333333,1437,45516,11693
135,0.333333,1470,46580,11953
136,0.333333,1504,47648,12103
137,0.333333,1537,48716,12153
138,0.333333,1570,49780,12392
139,0.333333,1604,50848,12655
140,0.333333,1637,51916,12900
141,0.333333,1670,52980,12910
142,0.333333,1704,54048,13156
143,0.333333,1737,55116,13286
144,0.333333,1770,56180,13118
145,0.333333,1804,57248,13537
146,0.333333,1837,58316,13611
147,0.333333,1870,59380,14233
148,0.333333,1904,60448,14356
149,0.333333,1937,61516,14688
150,0.333333,1970,62580,15138
151,0.333333,2004,63648,15391
152,0.333333,2037,64716,15485
153,0.333333,2070,65780,16054
154,0.333333,2104,66848,16055
155,0.333333,2137,67916,16548
156,0.333333,2170,68980,16498
157,0.333333,2204,70048,16855
158,0.333333,2237,71116,16875
159,0.333333,2270,72180,16961
160,0.333333,2304,73248,17252
161,0.333333,2337,74316,17297
162,0.333333,2370,75380,17425
163,0.333333,2404,76448,18320
164,0.333333,2437,77516,18209
165,0.333333,2470,78580,18382
166,0.333333,2504,79648,18563
167,0.333333,2537,80716,18836
168,0.333333,2570,81780,19055
169,0.333333,2604,82848,19297
170,0.333333,2637,83916,19898
171,0.333333,2670,84980,20316
172,0.333333,2704,86048,20700
173,0.333333,2735,87092,20751
174,0.333333,2765,88068,20806
175,0.333333,2795,89024,21044
176,0.333333,2823,89952,21048
177,0.333333,2850,90848,21511
178,0.333333,2875,91696,21743
179,0.333333,2900,92476,22502
180,0.333333,2924,93264,22327
181,0.333333,2943,93964,22480
182,0.333333,2961,94556,23065
183,0.333333,2977,95128,22881
184,0.333333,2992,95636,22947
185,0.333333,3007,96080,23348
