Frame,DeltaTime,ParticleCount,ChannelCollisions,SphereCollisions
1,0.020000,0,0,0
2,0.020000,5,28,3
3,0.036315,10,68,13
4,0.012067,22,344,67
5,0.051989,25,100,23
6,0.006013,40,804,162
7,0.007723,42,168,39
8,0.007568,45,180,35
9,0.010032,47,188,29
10,0.007680,50,200,34
11,0.008310,52,208,40
12,0.009043,55,220,46
13,0.009570,57,228,43
14,0.006719,60,240,55
15,0.007809,62,248,50
16,0.006955,65,260,54
17,0.007218,67,268,45
18,0.007005,70,280,46
19,0.007568,72,288,55
20,0.006926,72,0,0
21,0.007084,75,300,56
22,0.007584,77,308,61
23,0.006875,80,320,63
24,0.007341,82,328,66
25,0.007020,85,340,68
26,0.007336,87,348,57
27,0.006892,87,0,0
28,0.007014,90,360,73
29,0.007687,92,368,83
30,0.006794,95,380,85
31,0.007413,97,388,96
32,0.008939,100,400,99
33,0.009423,102,408,109
34,0.007091,105,420,108
35,0.007461,107,428,110
36,0.006843,110,440,120
37,0.007522,112,448,121
38,0.006913,112,0,0
39,0.006819,115,460,129
40,0.006822,117,468,144
41,0.006363,120,480,133
42,0.006535,122,488,139
43,0.005220,122,0,0
44,0.005661,125,500,149
45,0.006045,127,508,148
46,0.005783,127,0,0
47,0.005856,130,520,165
48,0.005747,132,528,168
49,0.005755,135,540,167
50,0.004493,135,0,0
51,0.005801,137,548,160
52,0.004312,137,0,0
53,0.005391,140,560,170
54,0.005642,142,568,167
55,0.005647,142,0,0
56,0.006616,145,580,176
57,0.005245,147,588,163
58,0.004307,147,0,0
59,0.005446,150,600,169
60,0.005488,152,608,167
61,0.004506,152,0,0
62,0.005198,155,620,176
63,0.004166,155,0,0
64,0.005491,157,628,179
65,0.005375,160,640,186
66,0.004017,160,0,0
67,0.005481,162,648,193
68,0.004501,162,0,0
69,0.007739,165,660,199
70,0.006054,167,668,197
71,0.005878,170,680,207
72,0.004327,170,0,0
73,0.005944,172,688,199
74,0.006027,175,700,198
75,0.004359,175,0,0
76,0.005485,177,708,203
77,0.005698,177,0,0
78,0.006155,180,720,215
79,0.006410,182,728,224
80,0.006115,185,740,231
81,0.005634,185,0,0
82,0.006107,187,748,227
83,0.007423,190,760,247
84,0.007311,192,768,242
85,0.005980,195,780,256
86,0.004354,195,0,0
87,0.005988,197,788,250
88,0.005340,197,0,0
89,0.006294,200,800,258
90,0.006391,202,808,263
91,0.006503,205,820,252
92,0.005097,205,0,0
93,0.006132,207,828,263
94,0.006391,210,840,261
95,0.006341,212,848,270
96,0.005428,212,0,0
97,0.006871,215,860,285
98,0.006460,217,868,282
99,0.006385,220,880,286
100,0.004555,220,0,0
101,0.006897,222,888,297
102,0.006917,225,900,289
103,0.007021,227,908,294
104,0.004805,227,0,0
105,0.006771,230,920,284
106,0.006714,232,928,307
107,0.006595,235,940,315
108,0.005731,235,0,0
109,0.007718,237,948,313
110,0.006579,240,960,305
111,0.006462,242,968,304
112,0.018980,245,980,322
113,0.011959,250,1988,657
114,0.007185,252,1008,343
115,0.007745,255,1020,336
116,0.006895,257,1028,338
117,0.006926,260,1040,353
118,0.006779,262,1048,337
119,0.004314,262,0,0
120,0.006766,265,1060,368
121,0.006867,267,1068,378
122,0.006978,270,1080,370
123,0.004459,270,0,0
124,0.006833,272,1088,374
125,0.007429,275,1100,370
126,0.007811,277,1108,384
127,0.007466,280,1120,382
128,0.008618,282,1128,379
129,0.009045,285,1140,395
130,0.007422,287,1148,390
131,0.007487,290,1160,397
132,0.004044,290,0,0
133,0.007624,292,1168,405
134,0.008271,295,1180,406
135,0.008810,297,1188,402
136,0.007367,300,1200,410
137,0.007594,302,1208,424
138,0.008328,305,1220,437
139,0.007834,307,1228,443
140,0.007793,310,1240,449
141,0.009479,312,1248,441
142,0.007954,315,1260,459
143,0.008297,317,1268,465
144,0.008180,320,1280,475
145,0.008203,322,1288,481
146,0.008434,325,1300,480
147,0.010472,327,1308,477
148,0.011092,330,1320,477
149,0.008398,332,1328,494
150,0.008476,335,1340,482
151,0.008491,337,1348,478
152,0.008669,340,1360,493
153,0.008460,342,1368,491
154,0.009475,345,1380,517
155,0.008588,347,1388,505
156,0.014193,352,2808,1042
157,0.008962,355,1420,521
158,0.009514,357,1428,525
159,0.011333,360,1440,529
160,0.014014,365,2908,1060
161,0.009892,367,1468,547
162,0.017037,372,2968,1091
163,0.018703,377,3008,1081
164,0.015518,382,3048,1119
165,0.015110,387,3088,1181
166,0.018019,392,3128,1169
167,0.015734,397,3168,1201
168,0.016064,402,3208,1215
169,0.016680,407,3248,1199
170,0.016670,412,3288,1211
171,0.016902,417,3328,1258
172,0.019178,422,3368,1322
173,0.019672,427,3408,1309
174,0.018955,432,3448,1335
175,0.024493,440,5248,2026
176,0.024891,447,5336,2060
177,0.025654,455,5428,2084
178,0.027278,462,5516,2145
179,0.029939,470,5608,2124
180,0.030005,477,5696,2214
181,0.037144,487,7736,2974
182,0.046629,500,9896,3801
183,0.050981,512,10144,3907
184,0.068217,527,12504,4826
185,0.085708,547,17232,5745
186,0.091079,567,17872,4633
187,0.096678,587,18512,3765
188,0.103005,607,19152,3350
189,0.109515,627,19792,3205
190,0.115384,647,20432,3168
191,0.124055,667,21072,3190
192,0.129492,687,21712,3284
193,0.136584,707,22352,3536
194,0.142462,727,22992,3672
195,0.150266,747,23632,3841
196,0.160464,767,24272,4265
197,0.164916,787,24912,4251
198,0.174053,807,25552,4338
199,0.182086,827,26192,4948
200,0.190933,847,26832,4848
201,0.199271,867,27472,4809
202,0.207041,887,28112,5166
203,0.215772,907,28752,5207
204,0.225066,927,29392,5237
205,0.234280,947,30032,5382
206,0.244969,967,30672,5329
207,0.252085,987,31312,5549
208,0.263292,1007,31952,5685
209,0.273221,1027,32592,5649
210,0.293078,1047,33232,5836
211,0.293313,1067,33872,5880
212,0.304115,1087,34512,5814
213,0.317970,1107,35152,6002
214,0.326509,1127,35792,6235
215,0.333333,1147,36432,6219
216,0.333333,1167,37072,6419
217,0.333333,1187,37712,6687
218,0.333333,1207,38352,6756
219,0.333333,1227,38992,7096
220,0.333333,1247,39632,7122
221,0.333333,1267,40272,7289
222,0.333333,1287,40912,7388
223,0.333333,1307,41552,7708
224,0.333333,1327,42192,7540
225,0.333333,1347,42832,7693
226,0.333333,1367,43472,7886
227,0.333333,1387,44112,7902
228,0.333333,1407,44752,8001
229,0.333333,1427,45392,8243
230,0.333333,1447,46032,8495
231,0.333333,1467,46672,8309
232,0.333333,1487,47312,8409
233,0.333333,1507,47952,8569
234,0.333333,1527,48592,9089
235,0.333333,1547,49232,9170
236,0.333333,1567,49872,9096
237,0.333333,1587,50512,9206
238,0.333333,1607,51152,9487
239,0.333333,1627,51792,9596
240,0.333333,1647,52432,9603
241,0.333333,1665,53056,9414
242,0.333333,1682,53604,9780
243,0.333333,1698,54128,9760
244,0.333333,1714,54640,9962
245,0.333333,1728,55136,9799
246,0.333333,1741,55576,10116
247,0.333333,1754,55984,10095
248,0.333333,1764,56348,9831
249,0.333333,1774,56656,10022
250,0.333333,1783,56984,10350
251,0.333333,1792,57280,10633
252,0.333333,1803,57580,10633
253,0.333333,1808,57860,11027
254,0.333333,1814,58044,11077
255,0.333333,1817,58160,10980
256,0.333333,1820,58268,11087
257,0.333333,1824,58384,10991
258,0.333333,1825,58464,11124
259,0.333333,1827,58540,11267
260,0.333333,1830,58584,10770
261,0.333333,1830,58648,11007
262,0.333333,1830,58648,10820
263,0.333333,1832,58692,10760
264,0.333333,1834,58752,10889
265,0.333333,1833,58740,11167
266,0.333333,1838,58824,11255
267,0.333333,1834,58836,11113
268,0.333333,1835,58812,11151
269,0.333333,1835,58824,10607
270,0.333333,1836,58836,10888
271,0.333333,1837,58860,11058
272,0.333333,1837,58836,11132
273,0.333333,1837,58884,11378
274,0.333333,1837,58880,11408
275,0.333333,1839,58912,10999
276,0.333333,1839,58912,10894
277,0.333333,1839,58972,10976
278,0.333333,1840,58900,11008
279,0.333333,1841,58984,11250
280,0.333333,1842,59028,11616
281,0.333333,1842,59012,11381
282,0.333333,1840,58980,11230
283,0.333333,1839,58936,11320
284,0.333333,1839,58964,11115
285,0.333333,1839,58936,11350
286,0.333333,1841,58980,11330
287,0.333333,1838,58964,11175
288,0.333333,1837,58884,11030
289,0.333333,1841,58940,11246
290,0.333333,1841,59032,11290
291,0.333333,1839,58988,10956
292,0.333333,1840,58996,11057
293,0.333333,1840,58932,10960
294,0.333333,1840,58976,10855
295,0.333333,1841,58992,10512
296,0.333333,1841,58980,10710
297,0.333333,1842,59012,10854
298,0.333333,1840,58996,10923
299,0.333333,1842,58976,10968
300,0.333333,1840,59048,10938
301,0.333333,1842,58948,11375
302,0.333333,1841,58984,11043
303,0.333333,1840,59012,11144
304,0.333333,1837,58936,11168
305,0.333333,1839,58896,11220
306,0.333333,1839,58944,10836
307,0.333333,1840,58936,10838
308,0.333333,1841,58952,10829
309,0.333333,1839,58924,10846
310,0.333333,1844,59000,11053
311,0.333333,1844,59092,11057
312,0.333333,1842,59060,11005
313,0.333333,1844,59036,11127
314,0.333333,1842,59048,11031
315,0.333333,1841,59024,11334
316,0.333333,1842,59052,11238
317,0.333333,1839,58988,10940
318,0.333333,1840,58956,11123
319,0.333333,1840,58976,11171
320,0.333333,1840,58956,11055
321,0.333333,1839,58956,10811
322,0.333333,1840,58944,10916
323,0.333333,1841,58976,11044
324,0.333333,1842,59000,11020
325,0.333333,1840,59024,11006
326,0.333333,1840,58944,10970
327,0.333333,1841,58988,10961
328,0.333333,1840,58996,11282
329,0.333333,1838,58936,11241
330,0.333333,1837,58932,11226
331,0.333333,1839,58916,11119
332,0.333333,1840,58952,10841
333,0.333333,1840,58968,10672
334,0.333333,1839,58944,10778
335,0.333333,1837,58904,11139
336,0.333333,1838,58868,11171
337,0.333333,1838,58912,11304
338,0.333333,1840,58916,11315
339,0.333333,1842,59008,11406
340,0.333333,1841,58968,11305
341,0.333333,1843,59008,11244
342,0.333333,1840,59008,11024
343,0.333333,1840,58968,10943
344,0.333333,1838,58956,11055
345,0.333333,1838,58904,11102
346,0.333333,1837,58900,11369
347,0.333333,1838,58904,11202
348,0.333333,1838,58936,11212
349,0.333333,1836,58880,11544
350,0.333333,1837,58888,11545
351,0.333333,1840,58920,11144
352,0.333333,1838,58964,11378
353,0.333333,1840,58932,11470
354,0.333333,1839,58956,11352
355,0.333333,1841,58984,11244
356,0.333333,1839,58940,11386
357,0.333333,1839,58928,11106
358,0.333333,1840,58928,10959
359,0.333333,1840,58964,10705
360,0.333333,1842,58988,10999
361,0.333333,1838,58988,10956
362,0.333333,1838,58912,11016
363,0.333333,1836,58904,10828
364,0.333333,1838,58872,10846
365,0.333333,1840,58940,11355
366,0.333333,1841,58980,11399
367,0.333333,1840,58968,11135
368,0.333333,1838,58948,11133
369,0.333333,1838,58908,11009
370,0.333333,1840,58916,10939
371,0.333333,1841,58968,11350
372,0.333333,1836,58944,11265
373,0.333333,1838,58856,11385
374,0.333333,1837,58892,11158
375,0.333333,1835,58864,11201
376,0.333333,1838,58880,11292
377,0.333333,1840,58920,11037
378,0.333333,1840,58956,10889
379,0.333333,1841,58992,10691
380,0.333333,1842,59028,10881
381,0.333333,1841,59036,10787
382,0.333333,1840,58948,10586
383,0.333333,1840,58964,10826
384,0.333333,1839,58956,10766
385,0.333333,1841,58980,10609
386,0.333333,1841,59008,10687
387,0.333333,1840,58956,11014
388,0.333333,1840,58940,11133
