Frame,DeltaTime,ParticleCount,ChannelCollisions,SphereCollisions
1,0.020000,0,0,0
2,0.020000,1,4,0
3,0.039362,3,20,1
4,0.008779,7,108,12
5,0.006020,8,32,4
6,0.009084,9,36,6
7,0.006522,10,40,5
8,0.014563,10,40,3
9,0.006642,11,44,3
10,0.005847,12,48,5
11,0.006393,13,52,6
12,0.006195,14,56,4
13,0.011959,14,0,0
14,0.006086,15,120,13
15,0.005948,16,64,8
16,0.006903,16,0,0
17,0.007210,17,68,6
18,0.007660,18,72,10
19,0.005892,19,76,9
20,0.006273,20,80,9
21,0.006462,20,0,0
22,0.006153,20,80,8
23,0.006496,21,84,8
24,0.006168,22,88,7
25,0.006083,22,0,0
26,0.006428,23,92,13
27,0.006078,24,96,10
28,0.006246,25,100,11
29,0.006804,25,0,0
30,0.006165,25,100,9
31,0.006559,26,104,5
32,0.006162,27,108,8
33,0.006181,27,0,0
34,0.006408,28,112,8
35,0.006243,29,116,10
36,0.006947,30,120,9
37,0.006120,30,120,8
38,0.006097,30,0,0
39,0.006537,31,124,7
40,0.006981,32,128,10
41,0.007561,33,132,12
42,0.007408,34,136,10
43,0.005601,34,0,0
44,0.005120,35,140,9
45,0.005172,35,140,6
46,0.004499,35,0,0
47,0.005280,36,144,8
48,0.005257,37,148,9
49,0.004793,37,0,0
50,0.005398,38,152,11
51,0.005197,38,0,0
52,0.004947,39,156,16
53,0.005927,40,160,12
54,0.005207,40,0,0
55,0.004831,40,160,9
56,0.005403,41,164,5
57,0.005240,41,0,0
58,0.004868,42,168,9
59,0.004807,42,0,0
60,0.004950,43,172,11
61,0.005100,44,176,8
62,0.005266,44,0,0
63,0.006051,45,180,11
64,0.006083,45,180,8
65,0.006083,45,0,0
66,0.006125,46,184,9
67,0.006131,47,188,13
68,0.005994,47,0,0
69,0.007320,48,192,17
70,0.005015,49,196,20
71,0.005833,50,200,19
72,0.006058,50,0,0
73,0.006066,50,200,13
74,0.006033,51,204,12
75,0.006101,52,208,16
76,0.006029,52,0,0
77,0.006100,53,212,20
78,0.006042,54,216,19
79,0.006100,54,0,0
80,0.006057,55,220,23
81,0.006080,55,220,25
82,0.006050,56,224,26
83,0.006099,56,0,0
84,0.006085,57,228,30
85,0.006074,58,232,33
86,0.006030,59,236,31
87,0.006198,59,0,0
88,0.005951,60,240,31
89,0.006072,60,240,34
90,0.006091,60,0,0
91,0.006076,61,244,35
92,0.006057,62,248,35
93,0.006118,63,252,34
94,0.006039,63,0,0
95,0.006089,64,256,38
96,0.006073,65,260,36
97,0.006071,65,260,33
98,0.006082,65,0,0
99,0.006181,66,264,36
100,0.006057,67,268,38
101,0.005966,67,0,0
102,0.006041,68,272,39
103,0.006078,69,276,44
104,0.006088,70,280,45
105,0.006059,70,0,0
106,0.006039,70,280,46
107,0.024370,71,284,51
108,0.007578,74,876,161
109,0.004471,75,300,53
110,0.006096,75,0,0
111,0.006111,75,300,47
112,0.006017,76,304,50
113,0.006090,76,0,0
114,0.006049,77,308,52
115,0.006170,78,312,53
116,0.006109,79,316,48
117,0.005971,79,0,0
118,0.006169,80,320,47
119,0.005973,80,320,50
120,0.006193,81,324,52
121,0.006033,81,0,0
122,0.005989,82,328,57
123,0.006058,83,332,60
124,0.006233,83,0,0
125,0.005916,84,336,62
126,0.006088,85,340,69
127,0.006032,85,340,57
128,0.006087,85,0,0
129,0.006057,86,344,60
130,0.006069,87,348,64
131,0.006065,88,352,57
132,0.006083,88,0,0
133,0.006084,89,356,57
134,0.006046,90,360,63
135,0.006106,90,0,0
136,0.006330,90,360,68
137,0.005814,91,364,80
138,0.006042,92,368,79
139,0.006201,92,0,0
140,0.005980,93,372,77
141,0.006191,94,376,80
142,0.005940,95,380,80
143,0.006062,95,0,0
144,0.006089,95,380,81
145,0.006067,96,384,81
146,0.006069,96,0,0
147,0.006094,97,388,85
148,0.006056,98,392,84
149,0.006081,99,396,88
150,0.006070,99,0,0
151,0.006074,100,400,83
152,0.006132,100,400,76
153,0.006018,101,404,85
154,0.006145,101,0,0
155,0.005974,102,408,88
156,0.006081,103,412,89
157,0.006047,103,0,0
158,0.006079,104,416,99
159,0.006127,105,420,98
160,0.006046,105,420,91
161,0.006088,105,0,0
162,0.006056,106,424,95
163,0.006066,107,428,97
164,0.006103,108,432,101
165,0.006087,108,0,0
166,0.006165,109,436,100
167,0.005940,110,440,98
168,0.006142,110,0,0
169,0.005986,110,440,100
170,0.006080,111,444,96
171,0.006088,112,448,95
172,0.006043,112,0,0
173,0.006088,113,452,100
174,0.006066,114,456,100
175,0.006104,115,460,105
176,0.006049,115,0,0
177,0.006086,115,460,102
178,0.006049,116,464,107
179,0.006094,116,0,0
180,0.006090,117,468,113
181,0.006048,118,472,114
182,0.006072,119,476,114
183,0.006068,119,0,0
184,0.006145,120,480,118
185,0.006036,120,480,119
186,0.006042,121,484,121
187,0.006066,121,0,0
188,0.006075,122,488,124
189,0.006081,123,492,123
190,0.006181,124,496,121
191,0.005940,124,0,0
192,0.006119,125,500,120
193,0.006082,125,500,115
194,0.006135,125,0,0
195,0.005980,126,504,107
196,0.006067,127,508,112
197,0.006094,128,512,113
198,0.006065,128,0,0
199,0.006063,129,516,114
200,0.006036,130,520,121
201,0.006172,130,520,118
202,0.006018,130,0,0
203,0.006145,131,524,110
204,0.005983,132,528,107
205,0.006088,132,0,0
206,0.006087,133,532,118
207,0.006054,134,536,120
208,0.006100,135,540,120
209,0.006133,135,0,0
210,0.005966,135,540,119
211,0.006127,136,544,119
212,0.006023,137,548,120
213,0.006093,137,0,0
214,0.006051,138,552,130
215,0.006414,139,556,133
216,0.005724,139,0,0
217,0.006091,140,560,123
218,0.006117,140,560,133
219,0.006056,141,564,134
220,0.006055,141,0,0
221,0.006316,142,568,138
222,0.005820,143,572,146
223,0.006057,144,576,151
224,0.006151,144,0,0
225,0.006016,145,580,143
226,0.006073,145,580,143
227,0.006055,145,0,0
228,0.006026,146,584,143
229,0.006082,147,588,147
230,0.006111,148,592,144
231,0.006071,148,0,0
232,0.006061,149,596,144
