Frame,DeltaTime,ParticleCount,ChannelCollisions,SphereCollisions
1,0.020000,0,0,0
2,0.020000,5,28,3
3,0.054145,10,68,13
4,0.008570,27,552,104
5,0.006705,30,120,25
6,0.009750,32,128,30
7,0.007964,35,140,33
8,0.011749,37,148,30
9,0.007612,40,160,30
10,0.007984,42,168,39
11,0.007562,45,180,35
12,0.008179,47,188,29
13,0.007664,50,200,34
14,0.007703,52,208,40
15,0.010453,55,220,46
16,0.009893,57,228,43
17,0.007555,60,240,55
18,0.007785,62,248,50
19,0.007625,65,260,54
20,0.008160,67,268,45
21,0.005957,70,280,46
22,0.005507,72,288,55
23,0.004858,72,0,0
24,0.005498,75,300,56
25,0.005965,77,308,61
26,0.005312,77,0,0
27,0.005252,80,320,63
28,0.005415,82,328,66
29,0.004937,82,0,0
30,0.005331,85,340,68
31,0.004891,85,0,0
32,0.005412,87,348,57
33,0.005437,90,360,73
34,0.004848,90,0,0
35,0.005533,92,368,83
36,0.005842,95,380,85
37,0.004909,95,0,0
38,0.007198,97,388,96
39,0.006607,100,400,99
40,0.005586,102,408,109
41,0.005309,102,0,0
42,0.005805,105,420,108
43,0.005682,107,428,110
44,0.005202,107,0,0
45,0.005792,110,440,120
46,0.006195,112,448,121
47,0.004992,112,0,0
48,0.005644,115,460,129
49,0.005093,117,468,144
50,0.004189,117,0,0
51,0.007785,120,480,133
52,0.005553,122,488,139
53,0.004363,122,0,0
54,0.004954,125,500,149
55,0.004244,125,0,0
56,0.005272,127,508,148
57,0.006103,130,520,165
58,0.006030,130,0,0
59,0.006063,132,528,168
60,0.006118,135,540,167
61,0.006046,135,0,0
62,0.006174,137,548,160
63,0.005984,140,560,170
64,0.006074,142,568,167
65,0.006082,142,0,0
66,0.007808,145,580,176
67,0.005429,147,588,163
68,0.005759,150,600,169
69,0.005257,150,0,0
70,0.006123,152,608,167
71,0.006098,155,620,176
72,0.005982,155,0,0
73,0.006125,157,628,179
74,0.006071,160,640,186
75,0.006073,162,648,193
76,0.006040,162,0,0
77,0.006105,165,660,199
78,0.006047,167,668,197
79,0.006078,170,680,207
80,0.006025,170,0,0
81,0.006450,172,688,199
82,0.005875,175,700,198
83,0.005929,175,0,0
84,0.006065,177,708,203
85,0.006082,180,720,215
86,0.006281,182,728,224
87,0.005826,182,0,0
88,0.006141,185,740,231
89,0.006045,187,748,227
90,0.008253,190,760,247
91,0.007284,192,768,242
92,0.020882,192,0,0
93,0.009873,200,2368,764
94,0.006762,202,808,263
95,0.006044,205,820,252
96,0.006047,207,828,263
97,0.004298,207,0,0
98,0.005920,210,840,261
99,0.006071,212,848,270
100,0.004003,212,0,0
101,0.006122,215,860,285
102,0.006179,217,868,282
103,0.005490,217,0,0
104,0.006481,220,880,286
105,0.007894,222,888,297
106,0.007081,225,900,289
107,0.006576,227,908,294
108,0.004143,227,0,0
109,0.006310,230,920,284
110,0.006173,232,928,307
111,0.004263,232,0,0
112,0.007291,235,940,315
113,0.008203,237,948,313
114,0.006402,240,960,305
115,0.004182,240,0,0
116,0.006186,242,968,304
117,0.006566,245,980,322
118,0.004712,245,0,0
119,0.006935,247,988,329
120,0.007024,250,1000,328
121,0.006954,252,1008,343
122,0.006831,255,1020,336
123,0.004433,255,0,0
124,0.006741,257,1028,338
125,0.006795,260,1040,353
126,0.006561,262,1048,337
127,0.004511,262,0,0
128,0.007714,265,1060,368
129,0.007449,267,1068,378
130,0.006906,270,1080,370
131,0.007226,272,1088,374
132,0.004180,272,0,0
133,0.006905,275,1100,370
134,0.007262,277,1108,384
135,0.007326,280,1120,382
136,0.005400,280,0,0
137,0.008530,282,1128,379
138,0.007389,285,1140,395
139,0.008471,287,1148,390
140,0.007193,290,1160,397
141,0.007606,292,1168,405
142,0.009569,295,1180,406
143,0.007931,297,1188,402
144,0.007408,300,1200,410
145,0.007740,302,1208,424
146,0.007575,305,1220,437
147,0.007774,307,1228,443
148,0.007576,310,1240,449
149,0.004217,310,0,0
150,0.007472,312,1248,441
151,0.008342,315,1260,459
152,0.007724,317,1268,465
153,0.007950,320,1280,475
154,0.008064,322,1288,481
155,0.009041,325,1300,480
156,0.009364,327,1308,477
157,0.010325,330,1320,477
158,0.008853,332,1328,494
159,0.009107,335,1340,482
160,0.009150,337,1348,478
161,0.008501,340,1360,493
162,0.008674,342,1368,491
163,0.008691,345,1380,517
164,0.013179,350,2788,1020
165,0.008727,352,1408,527
166,0.009004,355,1420,521
167,0.009411,357,1428,525
168,0.009324,360,1440,529
169,0.009093,362,1448,522
170,0.013727,367,2928,1085
171,0.011587,370,1480,548
172,0.016158,375,2988,1078
173,0.017956,380,3028,1091
174,0.014880,385,3068,1164
175,0.009639,387,1548,591
176,0.015121,392,3128,1169
177,0.010279,395,1580,601
178,0.015721,400,3188,1213
179,0.017753,405,3228,1205
180,0.016592,410,3268,1206
181,0.016273,415,3308,1223
182,0.019055,420,3348,1288
183,0.019143,425,3388,1326
184,0.016962,430,3428,1323
185,0.017120,435,3468,1342
186,0.017671,440,3508,1349
187,0.017963,445,3548,1367
188,0.024840,452,5396,2080
189,0.025560,460,5488,2127
190,0.028586,467,5576,2124
191,0.028604,475,5668,2177
192,0.035660,485,7696,2971
193,0.036591,495,7856,3003
194,0.037574,505,8016,3093
195,0.051062,517,10244,3979
196,0.063033,532,12624,4792
197,0.071601,550,15184,4796
198,0.091083,570,17952,4511
199,0.095637,590,18592,3672
200,0.099858,610,19232,3330
201,0.106673,630,19872,3234
202,0.111941,650,20512,3146
203,0.120502,670,21152,3208
204,0.124955,690,21792,3289
205,0.129228,710,22432,3558
206,0.140649,730,23072,3696
207,0.145412,750,23712,3879
208,0.157456,770,24352,4277
209,0.161165,790,24992,4250
210,0.168581,810,25632,4426
211,0.175380,830,26272,4947
212,0.183376,850,26912,4832
213,0.191013,870,27552,4830
214,0.199455,890,28192,5211
215,0.207942,910,28832,5189
216,0.217654,930,29472,5270
217,0.226096,950,30112,5398
218,0.235493,970,30752,5302
219,0.243897,990,31392,5575
220,0.253533,1010,32032,5716
221,0.263762,1030,32672,5642
222,0.276726,1050,33312,5868
223,0.282634,1070,33952,5883
224,0.293111,1090,34592,5841
225,0.303634,1110,35232,5990
226,0.315532,1130,35872,6253
227,0.325992,1150,36512,6250
228,0.333333,1170,37152,6446
229,0.333333,1190,37792,6698
230,0.333333,1210,38432,6778
231,0.333333,1230,39072,7122
232,0.333333,1250,39712,7128
233,0.333333,1270,40352,7317
234,0.333333,1290,40992,7403
235,0.333333,1310,41632,7726
236,0.333333,1330,42272,7492
237,0.333333,1350,42912,7739
238,0.333333,1370,43552,7930
239,0.333333,1390,44192,7889
240,0.333333,1410,44832,8018
241,0.333333,1430,45472,8292
242,0.333333,1450,46112,8479
243,0.333333,1470,46752,8319
244,0.333333,1490,47392,8386
245,0.333333,1510,48032,8656
246,0.333333,1530,48672,9123
247,0.333333,1550,49312,9172
248,0.333333,1570,49952,9113
249,0.333333,1590,50592,9183
250,0.333333,1610,51232,9519
251,0.333333,1630,51872,9634
252,0.333333,1650,52512,9547
253,0.333333,1667,53128,9496
254,0.333333,1684,53672,9744
255,0.333333,1700,54192,9771
256,0.333333,1716,54704,9986
257,0.333333,1730,55192,9785
258,0.333333,1743,55628,10172
259,0.333333,1755,56036,10001
260,0.333333,1765,56388,9866
261,0.333333,1776,56696,10068
262,0.333333,1785,57020,10394
263,0.333333,1794,57316,10677
264,0.333333,1804,57624,10634
265,0.333333,1809,57880,11076
266,0.333333,1815,58068,11001
267,0.333333,1818,58172,11033
268,0.333333,1821,58280,11092
269,0.333333,1825,58400,10977
270,0.333333,1827,58468,11180
271,0.333333,1828,58548,11217
272,0.333333,1830,58596,10773
273,0.333333,1830,58648,10974
274,0.333333,1831,58648,10812
275,0.333333,1834,58700,10776
276,0.333333,1835,58760,10897
277,0.333333,1835,58736,11198
278,0.333333,1837,58844,11290
279,0.333333,1835,58820,11062
280,0.333333,1836,58816,11116
281,0.333333,1837,58824,10616
282,0.333333,1837,58840,10911
283,0.333333,1836,58864,11058
284,0.333333,1838,58836,11170
285,0.333333,1837,58884,11390
286,0.333333,1838,58880,11361
287,0.333333,1838,58920,10990
288,0.333333,1839,58912,10921
289,0.333333,1838,58972,10945
290,0.333333,1840,58904,11003
291,0.333333,1842,58988,11332
292,0.333333,1843,59032,11609
293,0.333333,1841,59012,11355
294,0.333333,1839,58972,11202
295,0.333333,1841,58932,11343
296,0.333333,1840,58964,11077
297,0.333333,1840,58936,11377
298,0.333333,1841,58988,11369
299,0.333333,1837,58952,11078
300,0.333333,1839,58880,11070
301,0.333333,1843,58956,11321
302,0.333333,1841,59032,11203
303,0.333333,1840,58980,10990
304,0.333333,1840,59000,11018
305,0.333333,1841,58932,10931
306,0.333333,1842,58976,10855
307,0.333333,1842,58996,10529
308,0.333333,1841,58980,10697
309,0.333333,1842,59016,10881
310,0.333333,1840,58988,10906
311,0.333333,1843,58984,10990
312,0.333333,1841,59040,10975
313,0.333333,1840,58956,11400
314,0.333333,1842,58980,10985
315,0.333333,1842,59008,11152
316,0.333333,1837,58924,11187
317,0.333333,1841,58904,11217
318,0.333333,1839,58944,10779
319,0.333333,1840,58940,10873
320,0.333333,1839,58956,10789
321,0.333333,1841,58916,10916
322,0.333333,1844,59020,11012
323,0.333333,1845,59092,11071
324,0.333333,1842,59052,11013
325,0.333333,1844,59044,11115
326,0.333333,1842,59040,11049
327,0.333333,1843,59020,11384
328,0.333333,1844,59056,11171
329,0.333333,1839,58976,10975
330,0.333333,1841,58960,11114
331,0.333333,1840,58976,11141
332,0.333333,1840,58956,11041
333,0.333333,1841,58952,10796
334,0.333333,1840,58948,10973
335,0.333333,1842,58980,11051
336,0.333333,1843,59004,11010
337,0.333333,1839,59016,10991
338,0.333333,1840,58944,10991
339,0.333333,1842,58992,10960
340,0.333333,1841,58992,11279
341,0.333333,1839,58928,11238
342,0.333333,1839,58928,11237
343,0.333333,1840,58924,11092
344,0.333333,1840,58956,10775
345,0.333333,1841,58968,10696
346,0.333333,1840,58940,10834
347,0.333333,1838,58896,11151
348,0.333333,1839,58872,11185
349,0.333333,1839,58912,11286
350,0.333333,1841,58924,11343
351,0.333333,1841,59016,11381
352,0.333333,1841,58964,11327
353,0.333333,1842,59016,11183
354,0.333333,1840,58996,11048
355,0.333333,1841,58968,10938
356,0.333333,1839,58948,11067
357,0.333333,1838,58904,11139
358,0.333333,1839,58896,11346
359,0.333333,1840,58908,11200
360,0.333333,1837,58936,11228
361,0.333333,1838,58872,11550
362,0.333333,1839,58892,11503
363,0.333333,1841,58932,11153
364,0.333333,1839,58956,11412
365,0.333333,1840,58940,11458
366,0.333333,1840,58952,11333
367,0.333333,1841,58992,11246
368,0.333333,1841,58932,11415
369,0.333333,1840,58928,11047
370,0.333333,1841,58932,10943
371,0.333333,1840,58964,10691
372,0.333333,1843,58996,11040
373,0.333333,1839,58972,10954
374,0.333333,1839,58912,10983
375,0.333333,1837,58896,10817
376,0.333333,1839,58880,10884
377,0.333333,1841,58948,11426
378,0.333333,1841,58984,11357
379,0.333333,1841,58964,11138
380,0.333333,1838,58940,11107
381,0.333333,1839,58908,11000
382,0.333333,1840,58924,10948
383,0.333333,1840,58972,11377
384,0.333333,1836,58924,11283
385,0.333333,1838,58864,11350
386,0.333333,1838,58888,11195
387,0.333333,1836,58856,11184
388,0.333333,1839,58892,11260
389,0.333333,1840,58928,10999
390,0.333333,1840,58956,10902
