Frame,DeltaTime,ParticleCount,ChannelCollisions,SphereCollisions
1,0.020000,0,0,0
2,0.020000,8,48,5
3,0.035998,16,112,41
4,0.011284,37,572,145
5,0.007224,41,164,45
6,0.008829,45,180,54
7,0.007881,49,196,49
8,0.013534,54,216,46
9,0.008606,58,232,66
10,0.007903,66,512,134
11,0.008236,66,0,0
12,0.007654,70,280,68
13,0.008328,74,296,67
14,0.007581,79,316,86
15,0.008045,83,332,89
16,0.009308,87,348,92
17,0.009584,91,364,88
18,0.007818,95,380,94
19,0.008095,99,396,94
20,0.007646,104,416,117
21,0.008227,108,432,108
22,0.007271,112,448,108
23,0.008088,116,464,125
24,0.007572,120,480,117
25,0.008096,124,496,128
26,0.007424,129,516,137
27,0.006354,133,532,166
28,0.005868,137,548,175
29,0.004878,137,0,0
30,0.005621,141,564,167
31,0.005912,145,580,166
32,0.004677,145,0,0
33,0.006014,149,596,182
34,0.006028,154,616,178
35,0.005307,154,0,0
36,0.005902,158,632,214
37,0.007533,162,648,223
38,0.007220,166,664,205
39,0.004767,166,0,0
40,0.005856,170,680,222
41,0.007037,174,696,224
42,0.006589,179,716,219
43,0.004970,179,0,0
44,0.006000,183,732,246
45,0.006133,187,748,246
46,0.004172,187,0,0
47,0.005580,191,764,248
48,0.006002,195,780,257
49,0.004089,195,0,0
50,0.005788,199,796,278
51,0.006239,204,816,275
52,0.004266,204,0,0
53,0.006092,208,832,291
54,0.006259,212,848,291
55,0.004412,212,0,0
56,0.007525,216,864,310
57,0.006896,220,880,306
58,0.006261,224,896,318
59,0.004391,224,0,0
60,0.006315,229,916,341
61,0.006437,233,932,320
62,0.004732,233,0,0
63,0.008266,237,948,351
64,0.007988,241,964,339
65,0.006852,245,980,357
66,0.006942,249,996,355
67,0.006971,254,1016,388
68,0.004245,254,0,0
69,0.007014,258,1032,383
70,0.006899,262,1048,371
71,0.007163,266,1064,374
72,0.004287,266,0,0
73,0.007110,270,1080,430
74,0.007100,274,1096,411
75,0.007198,279,1116,422
76,0.004256,279,0,0
77,0.007245,283,1132,436
78,0.007415,287,1148,432
79,0.008539,291,1164,430
80,0.007577,295,1180,422
81,0.007736,299,1196,466
82,0.009011,304,1216,463
83,0.008887,308,1232,462
84,0.007931,312,1248,473
85,0.009618,316,1264,452
86,0.010028,320,1280,502
87,0.008709,324,1296,483
88,0.010014,329,1316,484
89,0.009069,333,1332,492
90,0.008644,337,1348,490
91,0.009067,341,1364,540
92,0.013658,349,2776,1050
93,0.009779,354,1416,542
94,0.009148,358,1432,537
95,0.011258,362,1448,539
96,0.014072,370,2944,1106
97,0.009718,374,1496,557
98,0.014583,383,3048,1194
99,0.009623,387,1548,592
100,0.016962,395,3144,1205
101,0.018197,404,3212,1322
102,0.017147,412,3280,1283
103,0.016794,420,3344,1379
104,0.018698,429,3412,1333
105,0.017470,437,3480,1367
106,0.018904,445,3544,1413
107,0.018214,454,3612,1460
108,0.026317,466,5544,2287
109,0.029288,479,5692,2337
110,0.030562,491,5844,2393
111,0.037931,508,8024,3265
112,0.048715,529,10404,4287
113,0.054692,549,10820,4495
114,0.083421,579,15852,6533
115,0.100177,612,19116,7911
116,0.110728,645,20180,8476
117,0.120701,679,21248,9040
118,0.130566,712,22316,9538
119,0.142000,745,23380,7589
120,0.153473,779,24448,5205
121,0.164728,812,25516,5355
122,0.176846,845,26580,5639
123,0.190802,879,27648,5752
124,0.207429,912,28716,6074
125,0.219721,945,29780,6343
126,0.233891,979,30848,6515
127,0.250718,1012,31916,7318
128,0.265478,1045,32980,7675
129,0.282275,1079,34048,7857
130,0.300476,1112,35116,8310
131,0.316434,1145,36180,8952
132,0.333333,1179,37248,9319
133,0.333333,1212,38316,9495
134,0.333333,1245,39380,9896
135,0.333333,1279,40448,10281
136,0.333333,1312,41516,10336
137,0.333333,1345,42580,10670
138,0.333333,1379,43648,10851
139,0.333333,1412,44716,11645
140,0.333333,1445,45780,11743
141,0.333333,1479,46848,11897
142,0.333333,1512,47916,12197
143,0.333333,1545,48980,12190
144,0.333333,1579,50048,12439
145,0.333333,1612,51116,12797
146,0.333333,1645,52180,12841
147,0.333333,1679,53248,12973
148,0.333333,1712,54316,13158
149,0.333333,1745,55380,13311
150,0.333333,1779,56448,13233
151,0.333333,1812,57516,13466
152,0.333333,1845,58580,13727
153,0.333333,1879,59648,14392
154,0.333333,1912,60716,14407
155,0.333333,1945,61780,14791
156,0.333333,1979,62848,15259
157,0.333333,2012,63916,15303
158,0.333333,2045,64980,15662
159,0.333333,2079,66048,15995
160,0.333333,2112,67116,16194
161,0.333333,2145,68180,16602
162,0.333333,2179,69248,16535
163,0.333333,2212,70316,16960
164,0.333333,2245,71380,16852
165,0.333333,2279,72448,16976
166,0.333333,2312,73516,17297
167,0.333333,2345,74580,17322
168,0.333333,2379,75648,17670
169,0.333333,2412,76716,18374
170,0.333333,2445,77780,18050
171,0.333333,2479,78848,18592
172,0.333333,2512,79916,18537
173,0.333333,2545,80980,18939
174,0.333333,2579,82048,19110
175,0.333333,2612,83116,19351
176,0.333333,2645,84180,20130
177,0.333333,2679,85248,20311
178,0.333333,2712,86316,20878
179,0.333333,2742,87336,20726
180,0.333333,2773,88312,20813
181,0.333333,2802,89260,21103
182,0.333333,2830,90176,21054
183,0.333333,2857,91068,21673
184,0.333333,2881,91892,21877
185,0.333333,2906,92676,22521
186,0.333333,2929,93456,22261
