Frame,DeltaTime,ParticleCount,ChannelCollisions,SphereCollisions
1,0.020000,0,0,0
2,0.020000,1,4,0
3,0.036678,3,20,1
4,0.012241,7,108,12
5,0.007020,8,32,4
6,0.007639,9,36,6
7,0.009061,10,40,5
8,0.007606,10,40,3
9,0.008166,11,44,3
10,0.007390,12,48,5
11,0.008049,13,52,6
12,0.007787,14,56,4
13,0.008274,15,60,7
14,0.007734,15,60,6
15,0.008169,16,64,8
16,0.008278,17,68,6
17,0.009347,18,72,10
18,0.009676,19,76,9
19,0.007819,20,80,9
20,0.007643,20,80,8
21,0.008153,21,84,8
22,0.007724,22,88,7
23,0.008352,23,92,13
24,0.007596,24,96,10
25,0.007457,25,100,11
26,0.008011,25,0,0
27,0.007692,25,100,9
28,0.008329,26,104,5
29,0.007672,27,108,8
30,0.007903,28,112,8
31,0.007603,29,116,10
32,0.008167,30,120,9
33,0.006278,30,120,8
34,0.005502,31,124,7
35,0.005927,32,128,10
36,0.006267,32,0,0
37,0.004471,33,132,12
38,0.004640,34,136,10
39,0.005145,34,0,0
40,0.005161,35,140,9
41,0.005712,35,0,0
42,0.005797,35,140,6
43,0.005241,36,144,8
44,0.004530,36,0,0
45,0.004726,37,148,9
46,0.004553,37,0,0
47,0.004800,38,152,11
48,0.005507,39,156,16
49,0.005163,39,0,0
50,0.005550,40,160,12
51,0.005496,40,0,0
52,0.004810,40,160,9
53,0.004921,41,164,5
54,0.004662,41,0,0
55,0.005136,42,168,9
56,0.004684,42,0,0
57,0.005279,43,172,11
58,0.005902,44,176,8
59,0.006014,44,0,0
60,0.006201,45,180,11
61,0.005942,45,180,8
62,0.006060,46,184,9
63,0.006054,46,0,0
64,0.006073,47,188,13
65,0.007013,48,192,17
66,0.005130,49,196,20
67,0.006046,49,0,0
68,0.006068,50,200,19
69,0.006079,50,200,13
70,0.006085,50,0,0
71,0.006089,51,204,12
72,0.006029,52,208,16
73,0.006143,53,212,20
74,0.006030,53,0,0
75,0.006051,54,216,19
76,0.006080,55,220,23
77,0.006091,55,0,0
78,0.006058,55,220,25
79,0.006100,56,224,26
80,0.006047,57,228,30
81,0.006086,57,0,0
82,0.006033,58,232,33
83,0.006142,59,236,31
84,0.006028,60,240,31
85,0.006076,60,0,0
86,0.006070,60,240,34
87,0.006073,61,244,35
88,0.006098,62,248,35
89,0.006074,62,0,0
90,0.006081,63,252,34
91,0.006017,64,256,38
92,0.024397,64,0,0
93,0.006015,66,784,105
94,0.005948,67,268,38
95,0.006098,68,272,39
96,0.006099,69,276,44
97,0.006048,69,0,0
98,0.006083,70,280,45
99,0.006084,70,280,46
100,0.006191,70,0,0
101,0.005968,71,284,51
102,0.006107,72,288,54
103,0.006069,73,292,54
104,0.006080,73,0,0
105,0.006100,74,296,53
106,0.006052,75,300,53
107,0.005989,75,300,47
108,0.006114,75,0,0
109,0.006040,76,304,50
110,0.006075,77,308,52
111,0.006065,77,0,0
112,0.006092,78,312,53
113,0.006090,79,316,48
114,0.006023,80,320,47
115,0.006114,80,0,0
116,0.006069,80,320,50
117,0.006296,81,324,52
118,0.005831,82,328,57
119,0.006073,82,0,0
120,0.006055,83,332,60
121,0.006074,84,336,62
122,0.006073,84,0,0
123,0.006063,85,340,69
124,0.006105,85,340,57
125,0.006038,86,344,60
126,0.006084,86,0,0
127,0.006099,87,348,64
128,0.006052,88,352,57
129,0.006128,89,356,57
130,0.006045,89,0,0
131,0.006280,90,360,63
132,0.005866,90,360,68
133,0.006040,90,0,0
134,0.006079,91,364,80
135,0.006043,92,368,79
136,0.006106,93,372,77
137,0.006064,93,0,0
138,0.006084,94,376,80
139,0.006052,95,380,80
140,0.006099,95,380,81
141,0.006072,95,0,0
142,0.006085,96,384,81
143,0.006022,97,388,85
144,0.006131,97,0,0
145,0.006043,98,392,84
146,0.006064,99,396,88
147,0.006110,100,400,83
148,0.006097,100,0,0
149,0.005992,100,400,76
150,0.006088,101,404,85
151,0.006072,102,408,88
152,0.006067,102,0,0
153,0.006070,103,412,89
154,0.006113,104,416,99
155,0.006083,105,420,98
156,0.006062,105,0,0
157,0.006063,105,420,91
158,0.006064,106,424,95
159,0.006286,106,0,0
160,0.005859,107,428,97
161,0.006057,108,432,101
162,0.006139,109,436,100
163,0.006045,109,0,0
164,0.006049,110,440,98
165,0.006083,110,440,100
166,0.006036,111,444,96
167,0.006093,111,0,0
168,0.006056,112,448,95
169,0.006088,113,452,100
170,0.006075,113,0,0
171,0.006087,114,456,100
172,0.006049,115,460,105
173,0.006084,115,460,102
174,0.006076,115,0,0
175,0.006044,116,464,107
176,0.006083,117,468,113
177,0.006108,118,472,114
178,0.006075,118,0,0
179,0.006031,119,476,114
180,0.006096,120,480,118
181,0.006060,120,0,0
182,0.006066,120,480,119
183,0.006105,121,484,121
184,0.006040,122,488,124
185,0.006067,122,0,0
186,0.006371,123,492,123
187,0.006507,124,496,121
188,0.005361,125,500,120
189,0.006052,125,0,0
190,0.006074,125,500,115
191,0.006127,126,504,107
192,0.006037,126,0,0
193,0.006147,127,508,112
194,0.005990,128,512,113
195,0.006082,129,516,114
196,0.006069,129,0,0
197,0.006065,130,520,121
198,0.006074,130,520,118
199,0.006075,131,524,110
200,0.006067,131,0,0
201,0.006144,132,528,107
202,0.006029,133,532,118
203,0.006175,133,0,0
204,0.006036,134,536,120
205,0.005999,135,540,120
206,0.006056,135,540,119
207,0.006075,135,0,0
208,0.006124,136,544,119
209,0.006043,137,548,120
210,0.006047,138,552,130
211,0.006061,138,0,0
212,0.006704,139,556,133
213,0.005502,140,560,123
214,0.006073,140,560,133
215,0.006021,140,0,0
216,0.006071,141,564,134
217,0.006062,142,568,138
218,0.006042,142,0,0
219,0.006149,143,572,146
220,0.006074,144,576,151
221,0.006149,145,580,143
222,0.005955,145,0,0
223,0.006088,145,580,143
224,0.006037,146,584,143
225,0.006108,147,588,147
226,0.006049,147,0,0
227,0.006118,148,592,144
228,0.006061,149,596,144
229,0.006083,149,0,0
230,0.006049,150,600,147
231,0.006097,150,600,146
232,0.006025,151,604,146
