Frame,DeltaTime,ParticleCount,ChannelCollisions,SphereCollisions
1,0.020000,0,0,0
2,0.020000,1,4,0
3,0.049069,3,20,1
4,0.008068,8,140,16
5,0.007330,9,36,4
6,0.009310,10,40,4
7,0.007576,10,40,5
8,0.011615,11,44,5
9,0.007651,12,48,4
10,0.008081,13,52,4
11,0.007336,14,56,3
12,0.007898,15,60,5
13,0.007694,15,60,7
14,0.008009,16,64,7
15,0.007461,17,68,10
16,0.009160,18,72,10
17,0.008792,19,76,9
18,0.007937,20,80,8
19,0.007503,20,80,6
20,0.007800,21,84,3
21,0.007492,22,88,6
22,0.008252,23,92,10
23,0.007637,24,96,10
24,0.007426,25,100,11
25,0.008052,25,100,11
26,0.007637,26,104,13
27,0.005710,26,0,0
28,0.005292,27,108,8
29,0.004919,28,112,6
30,0.004858,28,0,0
31,0.005008,29,116,9
32,0.006716,30,120,11
33,0.005959,30,0,0
34,0.004957,30,120,12
35,0.005021,31,124,8
36,0.005479,31,0,0
37,0.006819,32,128,10
38,0.006242,33,132,9
39,0.005213,34,136,10
40,0.005920,34,0,0
41,0.004965,35,140,11
42,0.004510,35,0,0
43,0.004649,35,140,7
44,0.004545,36,144,8
45,0.004713,36,0,0
46,0.005200,37,148,9
47,0.004681,37,0,0
48,0.004795,38,152,5
49,0.004577,38,0,0
50,0.005128,39,156,7
51,0.005092,40,160,11
52,0.005536,40,0,0
53,0.006310,40,160,10
54,0.004828,41,164,10
55,0.005930,41,0,0
56,0.006029,42,168,10
57,0.006075,43,172,9
58,0.006122,43,0,0
59,0.006023,44,176,14
60,0.006043,45,180,15
61,0.006073,45,180,11
62,0.006073,45,0,0
63,0.006100,46,184,6
64,0.006089,47,188,14
65,0.006092,47,0,0
66,0.006213,48,192,16
67,0.005940,49,196,19
68,0.006050,50,200,18
69,0.006161,50,0,0
70,0.005985,50,200,13
71,0.005968,51,204,21
72,0.006110,52,208,21
73,0.006056,52,0,0
74,0.006189,53,212,22
75,0.005972,54,216,25
76,0.006070,54,0,0
77,0.006048,55,220,23
78,0.006103,55,220,19
79,0.006050,56,224,28
80,0.006069,56,0,0
81,0.006107,57,228,31
82,0.006040,58,232,30
83,0.006220,59,236,34
84,0.006112,59,0,0
85,0.005964,60,240,39
86,0.006128,60,240,40
87,0.006002,60,0,0
88,0.006059,61,244,42
89,0.006041,62,248,42
90,0.007156,63,252,39
91,0.005720,64,256,40
92,0.005316,64,0,0
93,0.006086,65,260,42
94,0.006081,65,260,41
95,0.006047,65,0,0
96,0.006084,66,264,42
97,0.006053,67,268,45
98,0.006114,67,0,0
99,0.006082,68,272,44
100,0.006068,69,276,48
101,0.006046,70,280,49
102,0.006194,70,0,0
103,0.005944,70,280,42
104,0.006086,71,284,41
105,0.006054,72,288,45
106,0.006103,72,0,0
107,0.006043,73,292,42
108,0.006095,74,296,39
109,0.006029,75,300,39
110,0.006096,75,0,0
111,0.006116,75,300,44
112,0.006005,76,304,45
113,0.006110,76,0,0
114,0.006066,77,308,52
115,0.006087,78,312,47
116,0.006270,79,316,52
117,0.005853,79,0,0
118,0.006061,80,320,47
119,0.006094,80,320,50
120,0.006051,81,324,49
121,0.006140,81,0,0
122,0.006011,82,328,50
123,0.006095,83,332,53
124,0.006112,83,0,0
125,0.005994,84,336,57
126,0.006099,85,340,60
127,0.006076,85,340,61
128,0.006253,85,0,0
129,0.005886,86,344,66
130,0.006064,87,348,69
131,0.006090,88,352,66
132,0.006088,88,0,0
133,0.006048,89,356,68
134,0.006090,90,360,66
135,0.006066,90,0,0
136,0.006045,90,360,66
137,0.006082,91,364,66
138,0.006067,92,368,64
139,0.006090,92,0,0
140,0.006635,93,372,70
141,0.005806,94,376,74
142,0.005754,95,380,80
143,0.006090,95,0,0
144,0.006073,95,380,75
145,0.006071,96,384,78
146,0.006068,96,0,0
147,0.006091,97,388,82
148,0.006076,98,392,83
149,0.006081,99,396,82
150,0.006055,99,0,0
151,0.006049,100,400,77
152,0.006164,100,400,74
153,0.006006,101,404,76
154,0.006026,101,0,0
155,0.006123,102,408,82
156,0.006272,103,412,83
157,0.005860,104,416,87
158,0.006171,104,0,0
159,0.005926,105,420,89
160,0.006132,105,420,90
161,0.006095,105,0,0
162,0.006045,106,424,92
163,0.006043,107,428,85
164,0.006075,108,432,91
165,0.006113,108,0,0
166,0.007222,109,436,93
167,0.004901,110,440,94
168,0.006050,110,440,88
169,0.006077,110,0,0
170,0.006096,111,444,90
171,0.006101,112,448,89
172,0.006131,112,0,0
173,0.005980,113,452,100
174,0.006065,114,456,103
175,0.006078,115,460,101
176,0.006053,115,0,0
177,0.006091,115,460,101
178,0.006096,116,464,102
179,0.006053,117,468,96
180,0.006075,117,0,0
181,0.006056,118,472,98
182,0.006085,119,476,95
183,0.006089,119,0,0
184,0.006044,120,480,96
185,0.006085,120,480,104
186,0.006139,121,484,107
187,0.006026,121,0,0
188,0.006194,122,488,109
189,0.006011,123,492,109
190,0.006412,124,496,115
191,0.005969,124,0,0
192,0.005743,125,500,115
193,0.006080,125,500,119
194,0.006060,125,0,0
195,0.006092,126,504,124
196,0.006096,127,508,125
197,0.006150,128,512,121
198,0.006171,128,0,0
199,0.005908,129,516,124
200,0.006043,130,520,127
201,0.006129,130,520,126
202,0.006003,130,0,0
203,0.006124,131,524,129
204,0.006042,132,528,129
205,0.006041,132,0,0
206,0.006082,133,532,133
207,0.006089,134,536,127
208,0.006024,135,540,136
209,0.006100,135,0,0
210,0.006057,135,540,132
211,0.006097,136,544,130
212,0.006069,137,548,125
213,0.006101,137,0,0
214,0.006078,138,552,120
215,0.006445,139,556,120
216,0.006364,140,560,121
217,0.005346,140,0,0
218,0.006088,140,560,128
219,0.006132,141,564,126
220,0.006000,141,0,0
221,0.006113,142,568,132
222,0.006103,143,572,126
223,0.006007,144,576,129
224,0.006066,144,0,0
225,0.006106,145,580,130
226,0.006103,145,580,136
227,0.006012,145,0,0
228,0.006120,146,584,133
229,0.006055,147,588,136
230,0.006065,148,592,138
231,0.006073,148,0,0
232,0.006101,149,596,140
