Frame,DeltaTime,ParticleCount,ChannelCollisions,SphereCollisions
1,0.020000,0,0,0
2,0.020000,5,28,3
3,0.049887,10,68,18
4,0.011026,25,444,97
5,0.006882,30,228,43
6,0.007618,30,0,0
7,0.009190,32,128,30
8,0.007635,35,140,27
9,0.008411,37,148,32
10,0.007770,40,160,31
11,0.008290,42,168,33
12,0.007659,45,180,36
13,0.008062,47,188,30
14,0.007447,50,200,42
15,0.008028,52,208,37
16,0.008343,55,220,46
17,0.007910,57,228,50
18,0.005991,60,240,50
19,0.006088,62,248,54
20,0.006985,62,0,0
21,0.006156,65,260,58
22,0.006694,67,268,56
23,0.006094,70,280,50
24,0.006245,72,288,56
25,0.006493,72,0,0
26,0.006165,75,300,55
27,0.006134,77,308,60
28,0.006892,80,320,51
29,0.006263,80,0,0
30,0.006594,82,328,50
31,0.006024,85,340,61
32,0.006109,87,348,68
33,0.006520,87,0,0
34,0.006069,90,360,68
35,0.006961,92,368,72
36,0.006120,95,380,83
37,0.006172,95,0,0
38,0.007069,97,388,82
39,0.006844,100,400,85
40,0.008071,102,408,87
41,0.006090,105,420,97
42,0.006119,107,428,96
43,0.006673,107,0,0
44,0.006134,110,440,110
45,0.006263,112,448,118
46,0.007124,115,460,123
47,0.005206,115,0,0
48,0.005862,117,468,108
49,0.005644,120,480,136
50,0.004746,120,0,0
51,0.006022,122,488,132
52,0.005750,125,500,129
53,0.004874,125,0,0
54,0.005518,127,508,143
55,0.005484,130,520,144
56,0.005333,130,0,0
57,0.007013,132,528,156
58,0.005794,135,540,156
59,0.005520,137,548,150
60,0.005076,137,0,0
61,0.006036,140,560,162
62,0.006581,142,568,171
63,0.005654,142,0,0
64,0.006522,145,580,176
65,0.004984,147,588,182
66,0.004088,147,0,0
67,0.005072,150,600,172
68,0.003996,150,0,0
69,0.004890,152,608,168
70,0.005242,155,620,164
71,0.004153,155,0,0
72,0.004771,157,628,168
73,0.004509,157,0,0
74,0.005083,160,640,193
75,0.004260,160,0,0
76,0.005036,162,648,182
77,0.007881,165,660,189
78,0.006444,165,0,0
79,0.005799,167,668,191
80,0.005687,170,680,190
81,0.005345,172,688,189
82,0.004959,172,0,0
83,0.006077,175,700,201
84,0.006053,177,708,205
85,0.006077,177,0,0
86,0.024341,180,720,200
87,0.011388,187,2216,639
88,0.008621,190,760,237
89,0.006893,192,768,226
90,0.005277,195,780,234
91,0.005458,197,788,252
92,0.004738,197,0,0
93,0.006092,200,800,247
94,0.006169,202,808,239
95,0.006001,202,0,0
96,0.006155,205,820,264
97,0.006071,207,828,250
98,0.005991,210,840,251
99,0.006139,210,0,0
100,0.006044,212,848,266
101,0.006012,215,860,250
102,0.006102,217,868,271
103,0.006037,217,0,0
104,0.006130,220,880,257
105,0.006017,222,888,273
106,0.006081,225,900,284
107,0.006074,225,0,0
108,0.006055,227,908,285
109,0.006092,230,920,287
110,0.006065,230,0,0
111,0.006058,232,928,275
112,0.006191,235,940,287
113,0.006741,237,948,286
114,0.006061,237,0,0
115,0.006067,240,960,329
116,0.005497,242,968,300
117,0.005877,245,980,300
118,0.006074,245,0,0
119,0.006051,247,988,291
120,0.006089,250,1000,318
121,0.006064,250,0,0
122,0.006093,252,1008,311
123,0.006040,255,1020,330
124,0.006127,257,1028,332
125,0.006075,257,0,0
126,0.006096,260,1040,326
127,0.006047,262,1048,333
128,0.006407,265,1060,329
129,0.005721,265,0,0
130,0.006287,267,1068,338
131,0.005850,270,1080,338
132,0.006100,270,0,0
133,0.006039,272,1088,346
134,0.006125,275,1100,361
135,0.006037,277,1108,355
136,0.006065,277,0,0
137,0.006075,280,1120,345
138,0.007067,282,1128,363
139,0.007166,285,1140,375
140,0.006076,287,1148,356
141,0.004136,287,0,0
142,0.005925,290,1160,377
143,0.006049,290,0,0
144,0.006024,292,1168,384
145,0.006679,295,1180,389
146,0.006169,297,1188,383
147,0.005411,297,0,0
148,0.006103,300,1200,407
149,0.006075,302,1208,403
150,0.006094,305,1220,389
151,0.006023,305,0,0
152,0.006114,307,1228,420
153,0.006137,310,1240,410
154,0.005990,310,0,0
155,0.006362,312,1248,413
156,0.005868,315,1260,403
157,0.005972,317,1268,428
158,0.006152,317,0,0
159,0.006851,320,1280,427
160,0.007078,322,1288,432
161,0.006167,325,1300,460
162,0.005971,327,1308,448
163,0.005743,327,0,0
164,0.007244,330,1320,426
165,0.006411,332,1328,433
166,0.005848,335,1340,431
167,0.004316,335,0,0
168,0.005860,337,1348,444
169,0.006117,340,1360,472
170,0.005193,340,0,0
171,0.006260,342,1368,475
172,0.006051,345,1380,461
173,0.005895,345,0,0
174,0.006270,347,1388,455
175,0.006184,350,1400,473
176,0.006095,352,1408,480
177,0.005752,352,0,0
178,0.006063,355,1420,490
179,0.006511,357,1428,490
180,0.005653,357,0,0
181,0.006616,360,1440,493
182,0.006400,362,1448,488
183,0.006480,365,1460,478
184,0.004770,365,0,0
185,0.006345,367,1468,489
186,0.006603,370,1480,501
187,0.006414,372,1488,523
188,0.005533,372,0,0
189,0.007980,375,1500,513
190,0.006592,377,1508,536
191,0.006619,380,1520,538
192,0.006059,382,1528,502
193,0.004680,382,0,0
194,0.006079,385,1540,527
195,0.006291,387,1548,540
196,0.004376,387,0,0
197,0.006708,390,1560,544
198,0.006478,392,1568,528
199,0.004828,392,0,0
200,0.006555,395,1580,545
201,0.006993,397,1588,558
202,0.006274,400,1600,559
203,0.004443,400,0,0
204,0.006262,402,1608,561
205,0.006537,405,1620,589
206,0.006713,407,1628,565
207,0.004327,407,0,0
208,0.006180,410,1640,559
209,0.006662,412,1648,564
210,0.005467,412,0,0
211,0.006905,415,1660,575
212,0.006861,417,1668,593
213,0.008203,420,1680,597
214,0.007888,422,1688,599
215,0.006731,425,1700,598
216,0.004879,425,0,0
217,0.006975,427,1708,589
218,0.007522,430,1720,603
219,0.007145,432,1728,620
220,0.007155,435,1740,616
221,0.004979,435,0,0
222,0.007036,437,1748,624
223,0.007350,440,1760,622
224,0.007184,442,1768,641
225,0.007914,445,1780,637
226,0.007740,447,1788,638
227,0.007596,450,1800,654
228,0.004862,450,0,0
229,0.007670,452,1808,652
230,0.008438,455,1820,653
231,0.008162,457,1828,653
232,0.007761,460,1840,671
233,0.007832,462,1848,661
234,0.009102,465,1860,638
235,0.008591,467,1868,638
236,0.007632,470,1880,646
237,0.007048,472,1888,677
238,0.007745,475,1900,681
239,0.007892,477,1908,651
240,0.007211,480,1920,661
241,0.004392,480,0,0
242,0.006739,482,1928,669
243,0.006983,485,1940,694
244,0.006887,487,1948,671
245,0.004388,487,0,0
246,0.006933,490,1960,686
247,0.007725,492,1968,691
248,0.007056,495,1980,717
249,0.007197,497,1988,686
250,0.004256,497,0,0
251,0.008501,500,2000,704
252,0.007796,502,2008,702
253,0.008241,505,2020,728
254,0.007305,507,2028,701
255,0.007725,510,2040,694
256,0.008724,512,2048,710
257,0.009013,515,2060,716
258,0.007389,517,2068,720
259,0.007823,520,2080,726
260,0.007819,522,2088,744
261,0.007497,525,2100,713
262,0.004272,525,0,0
263,0.007331,527,2108,726
264,0.007357,530,2120,711
265,0.007428,532,2128,708
266,0.007681,535,2140,702
267,0.007708,537,2148,721
268,0.004554,537,0,0
269,0.007417,540,2160,710
270,0.007514,542,2168,694
271,0.007811,545,2180,724
272,0.008565,547,2188,705
273,0.008094,550,2200,704
274,0.007519,552,2208,700
275,0.007651,555,2220,688
276,0.007680,557,2228,687
277,0.009300,560,2240,655
278,0.009561,562,2248,661
279,0.008825,565,2260,667
280,0.008370,567,2268,636
281,0.008384,570,2280,637
282,0.008120,572,2288,607
283,0.008157,575,2300,586
284,0.008732,577,2308,591
285,0.007850,580,2320,592
286,0.007838,582,2328,583
287,0.008129,585,2340,546
288,0.007702,587,2348,535
289,0.008415,590,2360,530
290,0.008768,592,2368,512
291,0.007885,595,2380,488
292,0.007886,597,2388,460
293,0.008110,600,2400,427
294,0.008024,602,2408,397
295,0.009515,605,2420,396
296,0.010219,607,2428,395
297,0.008588,610,2440,426
298,0.008562,612,2448,442
299,0.008093,615,2460,430
300,0.008798,617,2468,419
301,0.008113,620,2480,436
302,0.009920,622,2488,435
303,0.008805,625,2500,422
304,0.008324,627,2508,402
305,0.008237,630,2520,407
306,0.008593,632,2528,383
307,0.008152,635,2540,397
308,0.008122,637,2548,387
309,0.008169,640,2560,400
310,0.009096,642,2568,420
311,0.008158,645,2580,412
312,0.008444,647,2588,389
313,0.009979,650,2600,410
314,0.010762,652,2608,394
315,0.013286,657,5248,781
316,0.008324,660,2640,394
317,0.009600,662,2648,391
318,0.008447,665,2660,378
319,0.008459,667,2668,400
320,0.008641,670,2680,400
321,0.012334,675,5388,859
322,0.008498,677,2708,426
323,0.008730,680,2720,411
324,0.010265,682,2728,392
325,0.010425,685,2740,397
326,0.013669,690,5508,814
327,0.009374,692,2768,399
328,0.010887,695,2780,427
329,0.014346,700,5588,804
330,0.010505,702,2808,391
331,0.012781,707,5648,845
332,0.009240,710,2840,445
333,0.008870,712,2848,432
334,0.009326,715,2860,432
335,0.009224,717,2868,411
336,0.012938,722,5768,875
337,0.009009,725,2900,448
338,0.009631,727,2908,440
339,0.008769,730,2920,450
340,0.009646,732,2928,445
341,0.013492,737,5888,898
342,0.009238,740,2960,456
343,0.010667,742,2968,446
344,0.015453,747,5968,872
345,0.009760,750,3000,461
346,0.013418,755,6028,916
347,0.009449,757,3028,463
348,0.009313,760,3040,460
349,0.009049,762,3048,434
350,0.013751,767,6128,939
351,0.010323,770,3080,474
352,0.010650,772,3088,484
353,0.013667,777,6208,962
354,0.009303,780,3120,497
355,0.009550,782,3128,514
356,0.014485,787,6288,1001
357,0.012073,790,3160,499
358,0.015866,795,6348,950
359,0.014553,800,6388,973
360,0.009640,802,3208,517
361,0.014154,807,6448,987
362,0.009551,810,3240,520
363,0.010634,812,3248,502
364,0.014441,817,6528,1005
365,0.010146,820,3280,514
366,0.014305,825,6588,1060
367,0.010018,827,3308,552
368,0.014973,832,6648,1090
369,0.011458,835,3340,527
370,0.016624,840,6708,1070
371,0.016186,845,6748,1086
372,0.015809,850,6788,1094
373,0.014966,855,6828,1075
374,0.010152,857,3428,540
375,0.014779,862,6888,1080
376,0.010169,865,3460,551
377,0.015041,870,6948,1101
378,0.010125,872,3488,517
379,0.015058,877,7008,1117
380,0.012391,880,3520,577
381,0.017555,885,7068,1101
382,0.016073,890,7108,1147
383,0.015133,895,7148,1210
384,0.015638,900,7188,1165
385,0.015517,905,7228,1193
386,0.010562,907,3628,606
387,0.015878,912,7288,1153
388,0.015679,917,7328,1190
389,0.015348,922,7368,1217
390,0.010924,925,3700,630
391,0.017701,930,7428,1302
392,0.019138,935,7468,1320
393,0.016103,940,7508,1288
394,0.016023,945,7548,1288
395,0.016149,950,7588,1315
396,0.016475,955,7628,1330
397,0.017166,960,7668,1297
398,0.016609,965,7708,1335
399,0.016524,970,7748,1320
400,0.018260,975,7788,1330
401,0.020043,980,7828,1325
402,0.022059,987,11816,1957
403,0.016916,992,7928,1305
404,0.016865,997,7968,1330
405,0.016782,1002,8008,1337
406,0.016535,1007,8048,1335
407,0.017054,1012,8088,1328
408,0.017762,1017,8128,1343
409,0.019471,1022,8168,1351
410,0.024014,1030,12328,1879
411,0.023564,1037,12416,1989
412,0.016971,1042,8328,1326
413,0.017623,1047,8368,1310
414,0.022907,1055,12628,1977
415,0.017877,1060,8468,1306
416,0.017454,1065,8508,1365
