Frame,DeltaTime,ParticleCount,ChannelCollisions,SphereCollisions
1,0.020000,0,0,0
2,0.020000,1,4,0
3,0.049734,3,20,1
4,0.018257,8,140,16
5,0.009600,10,76,8
6,0.010402,11,84,10
7,0.011414,12,48,4
8,0.009455,13,52,4
9,0.010759,14,56,3
10,0.010316,15,120,12
11,0.010284,16,64,7
12,0.018276,17,68,10
13,0.009193,19,148,19
14,0.011480,20,80,8
15,0.010020,21,164,9
16,0.009673,22,88,6
17,0.010275,23,92,10
18,0.010548,24,96,10
19,0.010052,25,200,22
20,0.009552,26,104,13
21,0.010054,27,108,8
22,0.009587,28,112,6
23,0.006737,29,116,9
24,0.005391,30,120,11
25,0.005510,30,120,12
26,0.005011,30,0,0
27,0.005627,31,124,8
28,0.019620,32,128,10
29,0.006585,34,268,19
30,0.005264,35,140,11
31,0.005804,35,140,7
32,0.005408,35,0,0
33,0.005334,36,144,8
34,0.005188,37,148,9
35,0.004745,37,0,0
36,0.006561,38,152,5
37,0.006389,39,156,7
38,0.005187,39,0,0
39,0.005729,40,160,11
40,0.005033,40,160,10
41,0.004419,40,0,0
42,0.004537,41,164,10
43,0.004593,41,0,0
44,0.004565,42,168,10
45,0.004200,42,0,0
46,0.004414,43,172,9
47,0.004357,43,0,0
48,0.004547,44,176,14
49,0.004198,44,0,0
50,0.004415,45,180,15
51,0.004346,45,0,0
52,0.008280,45,180,11
53,0.005239,46,184,6
54,0.004939,47,188,14
55,0.019298,47,0,0
56,0.006079,50,588,53
57,0.004285,50,0,0
58,0.004563,50,200,13
59,0.004240,50,0,0
60,0.004529,51,204,21
61,0.004211,51,0,0
62,0.004332,52,208,21
63,0.004370,52,0,0
64,0.004429,53,212,22
65,0.004548,53,0,0
66,0.004746,54,216,25
67,0.005096,55,220,23
68,0.004654,55,0,0
69,0.004953,55,220,19
70,0.004397,55,0,0
71,0.006066,56,224,28
72,0.006016,57,228,31
73,0.006083,57,0,0
74,0.006087,58,232,30
75,0.006040,59,236,34
76,0.006086,60,240,39
77,0.006048,60,0,0
78,0.006120,60,240,40
79,0.006069,61,244,42
80,0.005996,61,0,0
81,0.006164,62,248,42
82,0.020164,63,252,39
83,0.006206,65,516,82
84,0.004753,65,260,41
85,0.004490,66,264,42
86,0.004410,66,0,0
87,0.004582,67,268,45
88,0.004230,67,0,0
89,0.004570,68,272,44
90,0.004410,68,0,0
91,0.004679,69,276,48
92,0.004282,69,0,0
93,0.006045,70,280,49
94,0.006106,70,280,42
95,0.006039,70,0,0
96,0.006037,71,284,41
97,0.006111,72,288,45
98,0.006047,73,292,42
99,0.006125,73,0,0
100,0.006076,74,296,39
101,0.006054,75,300,39
102,0.006086,75,0,0
103,0.006034,75,300,44
104,0.024204,76,304,45
105,0.008512,79,936,151
106,0.017832,80,320,47
107,0.006249,81,644,99
108,0.004687,82,328,50
109,0.004269,82,0,0
110,0.004723,83,332,53
111,0.004664,83,0,0
112,0.004774,84,336,57
113,0.005070,85,340,60
114,0.006299,85,0,0
115,0.005868,85,340,61
116,0.006102,86,344,66
117,0.006047,86,0,0
118,0.006140,87,348,69
119,0.005944,88,352,66
120,0.006101,88,0,0
121,0.006068,89,356,68
122,0.006046,90,360,66
123,0.006092,90,360,66
124,0.006069,90,0,0
125,0.006047,91,364,66
126,0.006111,92,368,64
127,0.006058,93,372,70
128,0.006056,93,0,0
129,0.006077,94,376,74
130,0.006070,95,380,80
131,0.016945,95,0,0
132,0.006712,97,1152,235
133,0.004573,97,0,0
134,0.004717,98,392,83
135,0.004273,98,0,0
136,0.004514,99,396,82
137,0.004695,100,400,77
138,0.004226,100,0,0
139,0.005022,100,400,74
140,0.005079,100,0,0
141,0.006067,101,404,76
142,0.006062,102,408,82
143,0.006065,102,0,0
144,0.006118,103,412,83
145,0.006030,104,416,87
146,0.007942,104,0,0
147,0.005271,105,420,89
148,0.005001,105,420,90
149,0.006063,106,424,92
150,0.006062,106,0,0
151,0.006091,107,428,85
152,0.006053,108,432,91
153,0.006094,109,436,93
154,0.006069,109,0,0
155,0.006152,110,440,94
156,0.017892,110,440,88
157,0.006730,112,892,179
158,0.004921,113,452,100
159,0.004193,113,0,0
160,0.004601,114,456,103
161,0.004516,114,0,0
162,0.004933,115,460,101
163,0.004191,115,0,0
164,0.004808,115,460,101
165,0.004661,116,464,102
166,0.005288,116,0,0
167,0.006039,117,468,96
168,0.006099,117,0,0
169,0.006068,118,472,98
170,0.006087,119,476,95
171,0.006080,120,480,96
172,0.006038,120,0,0
173,0.006101,120,480,104
174,0.006030,121,484,107
175,0.006091,122,488,109
176,0.006066,122,0,0
177,0.006061,123,492,109
178,0.006094,124,496,115
179,0.006087,124,0,0
180,0.006045,125,500,115
181,0.018708,125,500,119
182,0.011823,127,1012,249
183,0.005485,129,1028,245
184,0.004250,129,0,0
185,0.004818,130,520,127
186,0.004168,130,0,0
187,0.004655,130,520,126
188,0.004281,130,0,0
189,0.004841,131,524,129
190,0.004118,131,0,0
191,0.005017,132,528,129
192,0.004895,133,532,133
193,0.004209,133,0,0
194,0.005156,134,536,127
195,0.004677,134,0,0
196,0.006069,135,540,136
197,0.006082,135,540,132
198,0.006217,135,0,0
199,0.005898,136,544,130
200,0.006122,137,548,125
201,0.006059,138,552,120
202,0.006090,138,0,0
203,0.006025,139,556,120
204,0.006095,140,560,121
205,0.006063,140,0,0
206,0.019927,140,560,128
207,0.007539,143,1704,384
208,0.004534,143,0,0
209,0.004856,144,576,129
210,0.005029,145,580,130
211,0.004322,145,0,0
212,0.004670,145,580,136
213,0.004315,145,0,0
214,0.004860,146,584,133
215,0.004250,146,0,0
216,0.005010,147,588,136
217,0.004333,147,0,0
218,0.005266,148,592,138
219,0.006131,149,596,140
220,0.006029,149,0,0
221,0.006083,150,600,129
222,0.006062,150,600,123
223,0.006101,151,604,134
224,0.006055,151,0,0
225,0.006110,152,608,137
226,0.006057,153,612,141
227,0.006078,153,0,0
228,0.006011,154,616,133
229,0.006124,155,620,136
230,0.006063,155,620,140
231,0.017506,155,0,0
232,0.007146,157,1252,295
