Frame,DeltaTime,ParticleCount,ChannelCollisions,SphereCollisions
1,0.020000,0,0,0
2,0.020000,8,48,5
3,0.047629,16,112,52
4,0.009835,41,736,170
5,0.008075,45,180,49
6,0.012007,49,196,61
7,0.009230,58,448,126
8,0.008384,62,248,67
9,0.008790,66,264,67
10,0.008147,70,280,80
11,0.008830,74,296,80
12,0.008242,79,316,83
13,0.008796,83,332,95
14,0.008228,87,348,104
15,0.010282,91,364,95
16,0.010545,95,380,96
17,0.007930,99,396,109
18,0.007462,104,416,96
19,0.006694,108,432,109
20,0.006750,112,448,135
21,0.007298,116,464,131
22,0.006800,120,480,129
23,0.007473,120,0,0
24,0.006435,124,496,126
25,0.006874,129,516,155
26,0.007166,133,532,166
27,0.006716,137,548,180
28,0.007468,141,564,161
29,0.006758,145,580,182
30,0.007701,145,0,0
31,0.006801,149,596,192
32,0.006760,154,616,194
33,0.007478,158,632,200
34,0.007481,162,648,198
35,0.008077,166,664,202
36,0.007771,170,680,201
37,0.007435,174,696,223
38,0.006811,179,716,234
39,0.007233,179,0,0
40,0.006593,183,732,248
41,0.006823,187,748,214
42,0.007482,191,764,244
43,0.006757,195,780,248
44,0.007418,199,796,260
45,0.006751,199,0,0
46,0.007147,204,816,278
47,0.006782,208,832,271
48,0.006190,212,848,276
49,0.006703,216,864,300
50,0.005420,216,0,0
51,0.006136,220,880,315
52,0.006543,224,896,331
53,0.007083,229,916,321
54,0.005505,229,0,0
55,0.006256,233,932,335
56,0.007067,237,948,341
57,0.007064,241,964,342
58,0.005675,245,980,350
59,0.004356,245,0,0
60,0.005810,249,996,345
61,0.004481,249,0,0
62,0.005770,254,1016,374
63,0.006070,258,1032,357
64,0.004062,258,0,0
65,0.006136,262,1048,365
66,0.005994,266,1064,367
67,0.004669,266,0,0
68,0.006079,270,1080,386
69,0.006194,274,1096,393
70,0.004253,274,0,0
71,0.005964,279,1116,400
72,0.005859,283,1132,387
73,0.004343,283,0,0
74,0.005857,287,1148,421
75,0.006235,291,1164,435
76,0.007840,291,0,0
77,0.006871,295,1180,440
78,0.006252,299,1196,442
79,0.006318,304,1216,440
80,0.006070,308,1232,442
81,0.004406,308,0,0
82,0.007968,312,1248,448
83,0.008269,316,1264,461
84,0.007582,320,1280,482
85,0.006522,324,1296,452
86,0.007980,324,0,0
87,0.006732,329,1316,489
88,0.007100,333,1332,499
89,0.006598,337,1348,483
90,0.006478,341,1364,480
91,0.006474,345,1380,502
92,0.004327,345,0,0
93,0.006563,349,1396,521
94,0.006853,354,1416,548
95,0.006915,358,1432,529
96,0.004181,358,0,0
97,0.006658,362,1448,553
98,0.006411,366,1464,537
99,0.004201,366,0,0
100,0.006822,370,1480,559
101,0.007398,374,1496,573
102,0.006890,379,1516,592
103,0.005230,379,0,0
104,0.006701,383,1532,576
105,0.006923,387,1548,572
106,0.008386,391,1564,593
107,0.008433,395,1580,581
108,0.006747,399,1596,629
109,0.006801,404,1616,624
110,0.004344,404,0,0
111,0.006628,408,1632,619
112,0.006744,412,1648,628
113,0.006799,416,1664,634
114,0.004329,416,0,0
115,0.006768,420,1680,628
116,0.008172,424,1696,651
117,0.007818,429,1716,663
118,0.006856,433,1732,680
119,0.004462,433,0,0
120,0.006935,437,1748,656
121,0.007073,441,1764,680
122,0.006909,445,1780,671
123,0.004395,445,0,0
124,0.007490,449,1796,669
125,0.007650,454,1816,683
126,0.007385,458,1832,697
127,0.007213,462,1848,692
128,0.007227,466,1864,708
129,0.005810,466,0,0
130,0.008407,470,1880,733
131,0.007937,474,1896,754
132,0.007741,479,1916,759
133,0.007121,483,1932,758
134,0.007375,487,1948,780
135,0.007957,491,1964,758
136,0.007158,495,1980,818
137,0.007269,499,1996,797
138,0.004248,499,0,0
139,0.007253,504,2016,759
140,0.007143,508,2032,796
141,0.007853,512,2048,824
142,0.007156,516,2064,840
143,0.004525,516,0,0
144,0.007218,520,2080,840
145,0.007974,524,2096,871
146,0.007338,529,2116,845
147,0.008312,533,2132,856
148,0.007333,537,2148,861
149,0.007710,541,2164,848
150,0.009013,545,2180,879
151,0.009494,549,2196,863
152,0.007530,554,2216,907
153,0.008802,558,2232,901
154,0.007665,562,2248,912
155,0.007719,566,2264,880
156,0.008105,570,2280,898
157,0.008604,574,2296,890
158,0.007932,579,2316,929
159,0.008568,583,2332,938
160,0.007686,587,2348,953
161,0.004388,587,0,0
162,0.008574,591,2364,926
163,0.008157,595,2380,957
164,0.008371,599,2396,982
165,0.009114,604,2416,958
166,0.007992,608,2432,934
167,0.008044,612,2448,950
168,0.008039,616,2464,971
169,0.009664,620,2480,982
170,0.009467,624,2496,1023
171,0.008279,629,2516,982
172,0.009273,633,2532,999
173,0.008297,637,2548,1056
174,0.008682,641,2564,1012
175,0.008632,645,2580,1012
176,0.008505,649,2596,1019
177,0.008429,654,2616,1072
178,0.008442,658,2632,1060
179,0.008555,662,2648,1034
180,0.012358,670,5344,2150
181,0.008609,674,2696,1070
182,0.008742,679,2716,1121
183,0.008581,683,2732,1114
184,0.010746,687,2748,1081
185,0.008832,691,2764,1091
186,0.010540,695,2780,1132
187,0.015855,704,5612,2274
188,0.015371,712,5680,2297
189,0.009247,716,2864,1153
190,0.013787,724,5776,2344
191,0.009488,729,2916,1184
192,0.009498,733,2932,1172
193,0.013959,741,5912,2422
194,0.009332,745,2980,1158
195,0.009451,749,2996,1090
196,0.011418,754,3016,1049
