Frame,DeltaTime,ParticleCount,ChannelCollisions,SphereCollisions
1,0.020000,0,0,0
2,0.020000,8,48,0
3,0.035189,16,112,0
4,0.010472,37,572,0
5,0.010512,41,164,0
6,0.007673,45,180,0
7,0.009101,49,196,0
8,0.007771,54,216,0
9,0.007610,58,232,0
10,0.008121,62,248,0
11,0.007869,66,264,0
12,0.008203,70,280,0
13,0.007360,74,296,0
14,0.007541,79,316,0
15,0.007928,83,332,0
16,0.007486,87,348,0
17,0.009699,87,0,0
18,0.010147,95,744,0
19,0.007631,99,396,0
20,0.007652,104,416,0
21,0.008365,108,432,0
22,0.007714,112,448,0
23,0.008486,116,464,0
24,0.007414,120,480,0
25,0.008633,120,0,0
26,0.006252,129,1012,0
27,0.005678,129,0,0
28,0.005531,133,532,0
29,0.005487,137,548,0
30,0.005186,137,0,0
31,0.005134,141,564,0
32,0.004983,145,580,0
33,0.004851,145,0,0
34,0.005842,149,596,0
35,0.005838,149,0,0
36,0.005540,154,616,0
37,0.005421,158,632,0
38,0.006530,158,0,0
39,0.006760,162,648,0
40,0.005478,166,664,0
41,0.005802,170,680,0
42,0.004711,170,0,0
43,0.005562,174,696,0
44,0.005562,179,716,0
45,0.005134,179,0,0
46,0.006056,183,732,0
47,0.005728,187,748,0
48,0.005065,187,0,0
49,0.005407,191,764,0
50,0.005965,195,780,0
51,0.005489,195,0,0
52,0.005423,199,796,0
53,0.005130,204,816,0
54,0.005082,204,0,0
55,0.008873,208,832,0
56,0.006031,212,848,0
57,0.006099,216,864,0
58,0.004997,216,0,0
59,0.005048,220,880,0
60,0.005134,224,896,0
61,0.004580,224,0,0
62,0.005224,229,916,0
63,0.004787,229,0,0
64,0.005869,233,932,0
65,0.008872,237,948,0
66,0.006075,241,964,0
67,0.004932,241,0,0
68,0.004713,245,980,0
69,0.005574,249,996,0
70,0.006273,249,0,0
71,0.005905,254,1016,0
72,0.006075,258,1032,0
73,0.006064,258,0,0
74,0.006085,262,1048,0
75,0.006082,266,1064,0
76,0.006058,270,1080,0
77,0.006043,270,0,0
78,0.006082,274,1096,0
79,0.006064,279,1116,0
80,0.006071,283,1132,0
81,0.006067,283,0,0
82,0.006067,287,1148,0
83,0.006136,291,1164,0
84,0.006205,291,0,0
85,0.005991,295,1180,0
86,0.006341,299,1196,0
87,0.005777,304,1216,0
88,0.006054,304,0,0
89,0.006050,308,1232,0
90,0.007090,312,1248,0
91,0.006720,316,1264,0
92,0.004739,316,0,0
93,0.005780,320,1280,0
94,0.006039,324,1296,0
95,0.006047,324,0,0
96,0.006147,329,1316,0
97,0.006024,333,1332,0
98,0.006145,337,1348,0
99,0.005987,337,0,0
100,0.006093,341,1364,0
101,0.006058,345,1380,0
102,0.006065,349,1396,0
103,0.006066,349,0,0
104,0.006386,354,1416,0
105,0.005768,358,1432,0
106,0.006077,358,0,0
107,0.006098,362,1448,0
108,0.006057,366,1464,0
109,0.006056,370,1480,0
110,0.024399,370,0,0
111,0.008395,383,4544,0
