Frame,DeltaTime,ParticleCount,ChannelCollisions,SphereCollisions
1,0.020000,0,0,0
2,0.020000,1,4,0
3,0.047134,3,20,0
4,0.014013,8,140,0
5,0.006761,10,76,0
6,0.011009,10,0,0
7,0.007543,11,84,0
8,0.009800,12,48,0
9,0.007429,13,52,0
10,0.008267,14,56,0
11,0.007574,15,60,0
12,0.008375,15,60,0
13,0.007720,16,64,0
14,0.008012,17,68,0
15,0.006721,18,72,0
16,0.008855,18,0,0
17,0.008664,19,76,0
18,0.007272,20,80,0
19,0.006618,20,80,0
20,0.006668,21,84,0
21,0.007243,22,88,0
22,0.006703,23,92,0
23,0.007178,24,96,0
24,0.006620,24,0,0
25,0.007303,25,100,0
26,0.006695,25,100,0
27,0.006600,26,104,0
28,0.007185,27,108,0
29,0.006728,28,112,0
30,0.007123,28,0,0
31,0.006632,29,116,0
32,0.006712,30,120,0
33,0.007457,30,120,0
34,0.006798,31,124,0
35,0.007078,32,128,0
36,0.006741,32,0,0
37,0.007312,33,132,0
38,0.008435,34,136,0
39,0.008991,35,140,0
40,0.006617,35,140,0
41,0.006672,36,144,0
42,0.007467,37,148,0
43,0.004973,38,152,0
44,0.003842,38,0,0
45,0.003977,39,156,0
46,0.003860,39,0,0
47,0.003847,40,160,0
48,0.003917,40,0,0
49,0.004036,40,160,0
50,0.003877,40,0,0
51,0.004392,41,164,0
52,0.004030,41,0,0
53,0.005819,42,168,0
54,0.006090,42,0,0
55,0.006201,43,172,0
56,0.005927,44,176,0
57,0.006068,44,0,0
58,0.006116,45,180,0
59,0.006048,45,180,0
60,0.006069,46,184,0
61,0.006075,46,0,0
62,0.006072,47,188,0
63,0.006071,48,192,0
64,0.006113,49,196,0
65,0.005993,49,0,0
66,0.006084,50,200,0
67,0.006053,50,200,0
68,0.006122,50,0,0
69,0.006203,51,204,0
70,0.005918,52,208,0
71,0.006159,53,212,0
72,0.006003,53,0,0
73,0.006070,54,216,0
74,0.006077,55,220,0
75,0.006043,55,220,0
76,0.006089,55,0,0
77,0.006074,56,224,0
78,0.006130,57,228,0
79,0.006033,57,0,0
80,0.006048,58,232,0
81,0.006068,59,236,0
82,0.006061,60,240,0
83,0.006252,60,0,0
84,0.005974,60,240,0
85,0.006085,61,244,0
86,0.006010,62,248,0
87,0.006063,62,0,0
88,0.006065,63,252,0
89,0.006070,64,256,0
90,0.006103,64,0,0
91,0.006050,65,260,0
92,0.006058,65,260,0
93,0.006088,66,264,0
94,0.006065,66,0,0
95,0.006086,67,268,0
96,0.006057,68,272,0
97,0.006256,69,276,0
98,0.005997,69,0,0
99,0.005966,70,280,0
100,0.006108,70,280,0
101,0.006049,71,284,0
102,0.006067,71,0,0
103,0.006068,72,288,0
104,0.006085,73,292,0
105,0.006069,73,0,0
106,0.006094,74,296,0
107,0.006055,75,300,0
108,0.006044,75,300,0
109,0.006097,75,0,0
110,0.006234,76,304,0
111,0.005905,77,308,0
112,0.006065,78,312,0
113,0.006105,78,0,0
114,0.006038,79,316,0
115,0.006914,80,320,0
116,0.005240,80,320,0
117,0.006087,80,0,0
118,0.006047,81,324,0
119,0.006097,82,328,0
120,0.006034,82,0,0
121,0.006129,83,332,0
122,0.006016,84,336,0
123,0.006077,85,340,0
124,0.006081,85,0,0
125,0.006228,85,340,0
126,0.005908,86,344,0
127,0.006107,86,0,0
128,0.006067,87,348,0
129,0.006057,88,352,0
130,0.006095,89,356,0
131,0.006047,89,0,0
132,0.006062,90,360,0
133,0.006081,90,360,0
134,0.006095,91,364,0
135,0.006067,91,0,0
136,0.006061,92,368,0
137,0.006098,93,372,0
138,0.006027,93,0,0
139,0.006090,94,376,0
140,0.006102,95,380,0
141,0.006041,95,380,0
142,0.006125,95,0,0
143,0.006036,96,384,0
144,0.006064,97,388,0
145,0.006073,98,392,0
146,0.006064,98,0,0
147,0.006063,99,396,0
148,0.006104,100,400,0
149,0.006082,100,0,0
150,0.006026,100,400,0
151,0.006096,101,404,0
152,0.006087,102,408,0
153,0.006191,102,0,0
154,0.005952,103,412,0
155,0.006072,104,416,0
156,0.006063,105,420,0
157,0.006062,105,0,0
158,0.006070,105,420,0
159,0.006045,106,424,0
160,0.006082,106,0,0
161,0.006086,107,428,0
162,0.006095,108,432,0
163,0.006072,109,436,0
164,0.006101,109,0,0
165,0.006034,110,440,0
166,0.006067,110,440,0
167,0.006065,111,444,0
168,0.006194,111,0,0
169,0.005974,112,448,0
170,0.006088,113,452,0
171,0.006047,114,456,0
172,0.006080,114,0,0
173,0.006078,115,460,0
174,0.006026,115,460,0
175,0.006119,115,0,0
176,0.006067,116,464,0
177,0.006063,117,468,0
178,0.006039,118,472,0
179,0.006135,118,0,0
180,0.006050,119,476,0
181,0.006046,120,480,0
182,0.006079,120,480,0
183,0.006082,120,0,0
184,0.006080,121,484,0
185,0.006100,122,488,0
186,0.006030,122,0,0
187,0.006049,123,492,0
188,0.006092,124,496,0
189,0.006080,125,500,0
190,0.006047,125,0,0
191,0.006108,125,500,0
192,0.006025,126,504,0
193,0.006123,127,508,0
194,0.006261,127,0,0
195,0.005847,128,512,0
196,0.006197,129,516,0
197,0.006054,129,0,0
198,0.006002,130,520,0
199,0.006073,130,520,0
200,0.006070,131,524,0
201,0.006044,131,0,0
202,0.006069,132,528,0
203,0.006130,133,532,0
204,0.006070,134,536,0
205,0.006072,134,0,0
206,0.006077,135,540,0
207,0.006256,135,540,0
208,0.006063,135,0,0
209,0.005862,136,544,0
210,0.006058,137,548,0
211,0.006146,138,552,0
212,0.006025,138,0,0
213,0.006079,139,556,0
214,0.006449,140,560,0
215,0.007249,140,560,0
216,0.004501,140,0,0
217,0.006069,141,564,0
218,0.006103,142,568,0
219,0.006024,142,0,0
220,0.006105,143,572,0
221,0.006065,144,576,0
222,0.006035,145,580,0
223,0.006228,145,0,0
224,0.005972,145,580,0
225,0.006031,146,584,0
226,0.006105,147,588,0
227,0.006069,147,0,0
228,0.006033,148,592,0
229,0.006132,149,596,0
230,0.006080,150,600,0
231,0.006058,150,0,0
232,0.006042,150,600,0
